id,planta,periodo_formatado,risco_classificacao,classificacao_original,data_criacao,risco,dt_atualizacao,status_id,status,status_codigo,peso_matematico,mes_ref,is_present
A88105-825,Nunes 0,2023-02,4,1,2025-12-23 07:21:30,Baixo,2026-06-14 09:27:06,ST-02,Cancelado,100,10,2025-08-29,True
15CA7E-1852,Gomes de Garcia 3,2023-08,1,1,2025-05-18 00:15:45,Alto,2025-01-20 20:32:14,ST-01,Cancelado,200,5,2026-06-25,True
FF6C70-3892,Siqueira das Pedras 2,2023-08,3,1,2026-02-28 09:19:01,Baixo,2026-04-02 19:32:03,ST-01,Cancelado,200,10,2025-08-20,True
8FAA87-3945,Siqueira das Pedras 2,2023-09,3,3,2025-05-19 11:48:20,Crítico,2025-04-03 20:47:40,ST-01,Concluído,100,10,2024-08-15,True
F0CFD6-3553,Nunes 0,2024-01,1,2,2024-09-12 10:54:56,Médio,2024-08-23 02:13:39,ST-02,Em Andamento,400,10,2025-05-25,True
41B14F-5860,Siqueira das Pedras 2,2023-02,2,2,2026-02-09 06:21:04,Alto,2024-11-04 13:58:14,ST-01,Aberto,400,5,2024-09-15,True
E0A3E8-6588,Porto do Galho 4,2023-03,3,2,2025-01-18 07:37:41,Baixo,2024-08-12 14:20:14,ST-02,Em Andamento,400,5,2025-08-29,True
1D3E57-785,Nunes 0,2023-07,2,1,2024-07-20 09:32:04,Crítico,2024-11-24 08:48:46,ST-01,Em Andamento,300,5,2025-12-23,True
CA3BCD-6110,Gomes de Garcia 3,2023-03,1,2,2025-12-24 21:02:00,Alto,2026-04-02 19:32:03,ST-01,Aberto,400,5,2024-11-12,True
F5B6E8-2579,Cardoso Verde 1,2023-12,4,3,2024-07-06 04:53:00,Alto,2025-11-22 23:28:44,ST-01,Concluído,100,5,2026-05-18,True
58091C-6658,Siqueira das Pedras 2,2023-01,2,1,2025-06-05 04:45:12,Alto,2024-11-24 08:48:46,ST-02,Concluído,100,5,2024-08-15,True
58A9B6-2434,Siqueira das Pedras 2,2024-01,1,2,2026-01-23 06:53:51,Médio,2024-11-04 13:58:14,ST-01,Concluído,100,10,2025-08-20,True
C694D9-4223,Nunes 0,2023-12,4,3,2026-06-26 05:00:08,Alto,2024-11-24 08:48:46,ST-02,Cancelado,200,5,2024-08-15,True
D3E43E-1644,Nunes 0,2023-03,4,3,2025-12-23 12:58:55,Médio,2025-01-20 20:32:14,ST-02,Cancelado,400,5,2024-07-19,True
123F08-1482,Porto do Galho 4,2023-04,1,2,2025-06-09 00:20:07,Crítico,2025-10-08 04:41:09,ST-01,Aberto,300,10,2026-06-25,True
1F0010-5259,Siqueira das Pedras 2,2023-02,3,2,2024-11-16 20:35:52,Médio,2025-10-10 09:10:13,ST-02,Cancelado,200,10,2024-07-19,True
F0E1B3-3770,Gomes de Garcia 3,2023-01,3,2,2025-05-21 15:19:22,Médio,2025-10-10 09:10:13,ST-01,Aberto,400,5,2025-08-29,True
7E1A51-3943,Siqueira das Pedras 2,2023-01,4,4,2024-08-27 07:35:07,Crítico,2024-07-23 11:43:18,ST-01,Concluído,200,10,2024-09-04,True
AEADF5-6574,Gomes de Garcia 3,2023-01,1,1,2025-01-06 03:35:42,Crítico,2025-11-22 23:28:44,ST-01,Aberto,100,5,2026-06-25,True
778012-4520,Siqueira das Pedras 2,2023-06,2,3,2026-03-31 05:28:20,Médio,2026-04-02 19:32:03,ST-02,Aberto,300,10,2025-08-20,True
C41C47-1613,Gomes de Garcia 3,2023-11,4,3,2025-10-08 17:29:27,Crítico,2025-10-10 09:10:13,ST-01,Concluído,300,5,2026-05-18,True
6DDAEA-3143,Porto do Galho 4,2023-01,4,2,2025-02-04 14:17:06,Médio,2024-08-12 14:20:14,ST-02,Concluído,100,10,2026-05-25,True
088F9B-4631,Cardoso Verde 1,2023-06,2,3,2025-10-12 19:00:08,Crítico,2025-06-18 07:04:20,ST-02,Concluído,300,5,2024-08-15,True
00399F-3724,Gomes de Garcia 3,2023-10,2,1,2025-11-11 15:29:55,Médio,2024-11-24 08:48:46,ST-01,Concluído,300,10,2025-12-23,True
0FCDCD-1871,Porto do Galho 4,2023-10,2,2,2024-10-20 02:57:45,Alto,2025-11-22 23:28:44,ST-02,Aberto,200,10,2025-05-25,True
510BC8-161,Nunes 0,2024-01,1,3,2025-07-27 06:47:08,Baixo,2025-11-22 23:28:44,ST-02,Cancelado,200,10,2024-07-19,True
E6A4B4-4905,Gomes de Garcia 3,2023-12,3,4,2025-12-22 16:14:20,Médio,2024-08-02 04:55:02,ST-01,Aberto,100,10,2025-08-29,True
55886D-165,Cardoso Verde 1,2023-05,1,2,2024-09-04 11:38:33,Alto,2026-05-12 08:01:18,ST-01,Em Andamento,400,5,2024-11-12,True
F8B9FA-1981,Cardoso Verde 1,2023-09,2,1,2024-07-16 14:58:33,Médio,2026-04-02 19:32:03,ST-01,Em Andamento,100,10,2024-08-15,True
680FDD-3642,Siqueira das Pedras 2,2023-03,4,2,2026-02-02 10:24:04,Baixo,2024-07-23 11:43:18,ST-01,Em Andamento,200,5,2024-09-04,True
C785A1-751,Gomes de Garcia 3,2023-10,2,2,2026-03-06 16:57:25,Crítico,2024-11-04 13:58:14,ST-02,Aberto,200,10,2025-12-23,True
40456F-661,Gomes de Garcia 3,2023-08,3,2,2026-01-08 15:16:32,Crítico,2026-06-19 17:33:40,ST-02,Aberto,100,10,2024-11-12,True
765D82-2364,Porto do Galho 4,2023-10,3,3,2025-09-23 10:40:12,Médio,2026-04-24 03:21:18,ST-02,Cancelado,100,10,2025-12-23,True
FD9D2C-3034,Siqueira das Pedras 2,2023-07,2,1,2025-09-01 05:53:30,Médio,2026-04-14 14:30:21,ST-02,Aberto,400,10,2024-09-04,True
F4EC7A-5156,Porto do Galho 4,2023-10,2,1,2025-09-26 16:15:06,Baixo,2025-10-10 09:10:13,ST-01,Aberto,300,10,2025-08-29,True
A11CD6-6129,Siqueira das Pedras 2,2023-12,1,4,2026-01-01 05:08:54,Alto,2024-08-12 14:20:14,ST-01,Em Andamento,300,5,2024-11-12,True
B824FF-814,Gomes de Garcia 3,2023-07,4,3,2025-10-02 09:57:52,Baixo,2026-05-16 01:41:14,ST-01,Aberto,300,10,2025-08-29,True
B9A2F5-5079,Cardoso Verde 1,2023-03,2,3,2025-11-01 19:22:12,Alto,2025-08-02 13:15:23,ST-01,Cancelado,200,10,2024-07-19,True
EAE10A-947,Gomes de Garcia 3,2023-01,4,1,2024-12-05 14:05:19,Baixo,2025-01-20 20:32:14,ST-01,Em Andamento,200,5,2026-06-25,True
B38A3C-4524,Cardoso Verde 1,2023-11,3,4,2025-09-27 22:34:31,Baixo,2026-05-16 01:41:14,ST-02,Cancelado,400,10,2024-09-23,True
880698-2315,Siqueira das Pedras 2,2023-12,4,3,2025-07-30 08:28:20,Baixo,2024-08-23 02:13:39,ST-02,Concluído,300,5,2024-09-04,True
AA3452-5723,Siqueira das Pedras 2,2023-08,2,1,2025-12-28 14:29:21,Baixo,2025-04-03 20:47:40,ST-02,Cancelado,200,10,2024-09-04,True
D89B03-3016,Porto do Galho 4,2023-10,3,1,2025-07-27 01:45:58,Crítico,2025-06-18 07:04:20,ST-01,Concluído,100,5,2026-05-18,True
6C0561-2948,Gomes de Garcia 3,2023-01,3,4,2026-06-12 17:04:21,Alto,2025-04-03 20:47:40,ST-01,Aberto,100,10,2024-08-15,True
F72A40-4809,Porto do Galho 4,2023-04,2,4,2024-08-10 18:26:38,Baixo,2026-04-24 03:21:18,ST-02,Concluído,100,5,2024-08-15,True
DCC0E3-6471,Nunes 0,2023-05,3,3,2026-05-11 04:59:34,Médio,2025-07-23 23:37:19,ST-01,Aberto,200,5,2024-08-15,True
E23E5B-2435,Siqueira das Pedras 2,2023-11,1,2,2025-06-17 09:44:32,Alto,2026-04-24 03:21:18,ST-02,Aberto,100,5,2024-11-12,True
39E871-4299,Gomes de Garcia 3,2023-05,1,2,2026-04-03 12:39:45,Baixo,2024-08-23 02:13:39,ST-02,Aberto,300,5,2024-09-15,True
823D24-837,Gomes de Garcia 3,2023-12,2,2,2026-04-29 05:26:45,Baixo,2024-11-04 13:58:14,ST-01,Em Andamento,400,5,2026-05-18,True
12A60C-311,Cardoso Verde 1,2023-01,2,2,2026-03-26 07:52:44,Alto,2026-04-24 03:21:18,ST-02,Em Andamento,400,10,2024-07-19,True
1485F8-1095,Gomes de Garcia 3,2023-06,1,1,2026-01-02 07:49:48,Alto,2024-11-04 13:58:14,ST-02,Aberto,100,5,2026-05-25,True
CFC13F-2020,Cardoso Verde 1,2023-03,4,4,2024-12-16 01:20:04,Baixo,2026-05-12 08:01:18,ST-02,Cancelado,400,10,2024-09-23,True
954859-5124,Siqueira das Pedras 2,2023-06,4,2,2026-03-30 18:52:54,Alto,2025-06-18 07:04:20,ST-02,Cancelado,200,10,2026-05-25,True
BBD419-5358,Porto do Galho 4,2023-07,2,3,2025-01-11 12:30:59,Baixo,2026-04-02 19:32:03,ST-01,Concluído,300,5,2024-09-04,True
557235-6429,Porto do Galho 4,2023-03,1,2,2025-11-21 04:51:48,Alto,2025-01-20 20:32:14,ST-01,Em Andamento,300,10,2024-09-23,True
4634C7-631,Cardoso Verde 1,2023-10,1,1,2026-02-10 04:49:50,Crítico,2025-11-22 23:28:44,ST-02,Concluído,300,5,2024-11-12,True
0B4F7F-5392,Porto do Galho 4,2023-01,1,4,2025-09-29 04:38:49,Alto,2024-07-23 11:43:18,ST-02,Em Andamento,400,10,2024-09-04,True
21A8E4-1804,Gomes de Garcia 3,2023-09,3,4,2024-09-09 01:43:14,Médio,2024-11-24 08:48:46,ST-01,Aberto,100,5,2024-09-15,True
FB002B-1706,Nunes 0,2023-11,4,3,2025-03-16 11:33:41,Médio,2025-11-22 23:28:44,ST-01,Concluído,100,5,2024-08-15,True
FEFCC9-2432,Nunes 0,2023-04,2,4,2026-01-13 19:48:20,Crítico,2025-11-22 23:28:44,ST-01,Em Andamento,100,10,2025-12-23,True
2F9FBD-4185,Nunes 0,2023-12,4,1,2025-08-17 18:42:05,Alto,2025-10-10 09:10:13,ST-02,Aberto,300,10,2025-12-23,True
499734-1692,Cardoso Verde 1,2023-12,3,3,2026-03-16 12:59:21,Baixo,2024-08-12 14:20:14,ST-01,Cancelado,200,5,2026-05-18,True
20483A-5571,Siqueira das Pedras 2,2023-12,4,2,2025-01-12 18:29:01,Crítico,2024-07-23 11:43:18,ST-02,Em Andamento,400,5,2025-08-20,True
033EAE-1741,Gomes de Garcia 3,2024-01,4,4,2024-09-28 16:39:18,Médio,2024-07-23 11:43:18,ST-02,Concluído,300,5,2025-08-20,True
BE4BB6-5710,Gomes de Garcia 3,2023-04,3,2,2025-11-16 19:22:47,Crítico,2025-06-18 07:04:20,ST-01,Concluído,400,5,2024-08-15,True
A20126-3442,Porto do Galho 4,2023-09,4,3,2024-08-26 14:00:06,Baixo,2025-11-22 23:28:44,ST-02,Em Andamento,100,5,2026-05-18,True
F595F1-1037,Siqueira das Pedras 2,2023-08,3,2,2025-09-14 12:21:54,Baixo,2025-11-22 23:28:44,ST-02,Em Andamento,400,5,2024-09-23,True
5861DB-4453,Siqueira das Pedras 2,2023-04,4,3,2026-03-25 13:01:41,Alto,2025-04-03 20:47:40,ST-01,Concluído,400,10,2024-09-04,True
478259-2753,Nunes 0,2024-01,3,4,2025-05-06 03:35:47,Alto,2024-11-24 08:48:46,ST-01,Concluído,100,5,2024-11-12,True
17FEAC-5998,Porto do Galho 4,2023-11,1,1,2025-05-22 17:30:54,Crítico,2025-08-02 13:15:23,ST-02,Concluído,100,10,2025-05-25,True
A7BD89-4624,Siqueira das Pedras 2,2023-08,4,4,2024-11-21 21:28:03,Médio,2025-10-10 09:10:13,ST-02,Cancelado,400,5,2025-08-20,True
4D91E3-854,Cardoso Verde 1,2023-06,3,2,2025-04-02 07:21:35,Baixo,2024-11-24 08:48:46,ST-02,Aberto,200,5,2025-08-29,True
